
"Reference number","2023-00509798"
"Entity number","0427829683"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","DÔME SA"
"Entity address street","Boulevard du Jardin Botanique"
"Entity address number","9"
"Entity address box","."
"Entity postal code","1000"
"Entity city","Bruxelles-Ville"
"Entity country","Belgique"
"General assembly date","2023-09-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","261284.25"
"1341","10"
"454/9","168184.4"
"1213","2.4"
"1212","2"
"1211","2"
"10","4509151.44"
"12","4506194.25"
"13","2583743.89"
"14","-6507626.29"
"17","2155940"
"3","6860.85"
"1103","12.8"
"1102","3"
"1343","10.6"
"1101","12"
"1342","2"
"22","7305048.33"
"23","108.24"
"24","8967.93"
"27","63000"
"28","35786.72"
"75/76B","1524.26"
"9087","12.8"
"130","379115.14"
"132","2078153.23"
"133","126475.52"
"1011","12229"
"1003","12.8"
"1002","3"
"1001","12"
"130/1","379115.14"
"40","261119.08"
"41","165.17"
"44","459305.66"
"45","210555.75"
"1022","120177.37"
"1021","480709.41"
"14P","-5978128.44"
"1013","12973"
"1012","744"
"8329","6791695.13"
"22/27","7377124.5"
"1023","600886.78"
"12002","1"
"12001","10"
"12003","10.4"
"8199P","7380156.63"
"62","600886.78"
"10/49","7917264.7"
"65","14103.31"
"21/28","7412911.22"
"20/58","7917264.7"
"10/11","4509151.44"
"10/15","5091463.29"
"75","1524.26"
"8365","35586.72"
"170/4","2155940"
"1003P","13.1"
"1053","12.8"
"1052","3"
"1051","12"
"8395P","200"
"12101","2"
"8912","2155940"
"12103","2.4"
"12102","2"
"8259","6725663"
"450/3","42371.35"
"54/58","192718.97"
"630","197861.13"
"65/66B","14103.31"
"8329P","6593834"
"1013P","120"
"9903","-529497.85"
"9900","450279.47"
"9901","-516918.8"
"9906","-6507626.29"
"9904","-529497.85"
"9905","-529497.85"
"42/48","669861.41"
"8279","197861.13"
"8395","35786.72"
"440/4","459305.66"
"8169","63000"
"1023P","80109"
"172/3","810000"
"640/8","168450.36"
"50/53","1963.34"
"490/1","41526.07"
"30/36","6860.85"
"29/58","504353.48"
"17/49","2825801.41"
"8199","7443156.63"
"8259P","6725663"
"174/0","1345940"
"100","4509151.44"
"1203","10.4"
"1323","2.2"
"1202","1"
"1322","1"
"1201","10"
"1321","2"
