
"Reference number","2024-00252517"
"Entity number","0435690049"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","G.E.O.M.I. II"
"Entity address street","Grand'Route"
"Entity address number","61"
"Entity postal code","1435"
"Entity city","Mont-Saint-Guibert"
"Entity country","Belgique"
"General assembly date","2024-06-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","12168.99"
"10","61550"
"13","82614.90"
"14","88588.93"
"15","48395.01"
"17","636077.44"
"22","1029273.26"
"24","16686.87"
"28","1107.11"
"75/76B","4395.49"
"130","16113.08"
"133","66501.82"
"694/7","118460.06"
"130/1","16113.08"
"8129P","24606.61"
"40","9672.47"
"41","2496.52"
"42","66807.72"
"44","5016.39"
"45","58097.56"
"14P","833.35"
"791/2","118460.06"
"8329","584169.44"
"22/27","1045960.13"
"8199P","1617770.24"
"62","39437.71"
"10/49","1147300.56"
"65","23863.38"
"21/28","1047067.24"
"20/58","1147300.56"
"10/11","61550"
"10/15","281148.84"
"75","4395.49"
"170/4","636077.44"
"8395P","1107.11"
"450/3","58097.56"
"54/58","88064.33"
"630","61454.98"
"65/66B","23863.38"
"8129","24606.61"
"8059P","24606.61"
"8329P","522714.46"
"9903","118623.11"
"9900","248653.62"
"9901","138091.00"
"9906","88588.93"
"9904","87755.58"
"9905","87755.58"
"42/48","230074.28"
"8279","61454.98"
"8395","1107.11"
"440/4","5016.39"
"8169","12359.33"
"47/48","100152.61"
"172/3","634077.44"
"91611","1029273"
"8059","24606.61"
"640/8","9669.93"
"29/58","100233.32"
"17/49","866151.72"
"8199","1630129.57"
"694","118460.06"
"174/0","2000"
"91621","330000"
"100","61550"
"67/77","30867.53"
