
"Reference number","2024-00333566"
"Entity number","0453085911"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","IMMOBONSOY"
"Entity address street","Rue Trou-du-Renard"
"Entity address number","9"
"Entity postal code","5377"
"Entity city","Somme-Leuze"
"Entity country","Belgique"
"General assembly date","2024-06-03"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","55842.87"
"1100/10","991.57"
"10","61500"
"11","991.57"
"13","6150"
"14","317.13"
"22","47099.68"
"75/76B","55525.07"
"130","6150"
"694/7","149218.27"
"130/1","6150"
"40","1552.02"
"41","54290.85"
"44","41315.62"
"791/2","149218.27"
"8329","210370.84"
"22/27","47099.68"
"8199P","257470.52"
"10/49","110274.32"
"65","105.14"
"21/28","47099.68"
"20/58","110274.32"
"70","0.83"
"10/11","62491.57"
"10/15","68958.70"
"75","44225.07"
"76","11300"
"8259","0"
"54/58","7331.77"
"630","7436.81"
"65/66B","105.14"
"8329P","202934.03"
"9903","317.13"
"9900","-45378.10"
"9901","-55102.80"
"9906","317.13"
"9904","317.13"
"9905","317.13"
"60/61","46930.95"
"42/48","41315.62"
"76B","11300"
"8279","7436.81"
"440/4","41315.62"
"640/8","2287.89"
"29/58","63174.64"
"17/49","41315.62"
"8199","257470.52"
"694","149218.27"
"8259P","0"
"9295","44225.07"
"100","61500.00"
