
"Reference number","2024-00495520"
"Entity number","0480036964"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","TURNHOUT CITY HOTEL"
"Entity address street","STATIONSTRAAT"
"Entity address number","5"
"Entity postal code","2300"
"Entity city","Turnhout"
"Entity country","België"
"General assembly date","2024-09-09"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","311117.43"
"492/3","547.3"
"454/9","6942.07"
"111","334750"
"1213","2.5"
"1212","4"
"8455P","0"
"8525","0"
"13","566517.91"
"14","0"
"16","27000"
"17","77356.87"
"1103","1.9"
"1102","3"
"23","1264.7"
"24","119647.61"
"26","861917.19"
"28","0"
"8555","0"
"75/76B","6008.85"
"9087","2.8"
"132","51.93"
"133","532990.98"
"1113","0.5"
"1112","1"
"6921","162642.89"
"1011","1752"
"694/7","90250"
"1003","2.8"
"1002","3.1"
"1001","0.8"
"130/1","33475"
"8129P","13818"
"40","73299.3"
"41","237818.13"
"42","57576.36"
"44","176404.51"
"45","83187.99"
"8455","0"
"1022","55472.62"
"1021","47617.85"
"791/2","0"
"1013","3793"
"1012","2041"
"12112","4"
"8329","2566377.57"
"12113","2.5"
"22/27","982829.5"
"162","27000"
"1023","103090.47"
"8199P","3459166.16"
"62","106983.52"
"10/49","1570417.12"
"8555P","0"
"65","12994.73"
"66","0"
"21/28","982829.5"
"20/58","1570417.12"
"10/11","334750"
"10/15","901267.91"
"75","6008.85"
"170/4","77356.87"
"1003P","2.7"
"1053","2.4"
"1052","4"
"1051","0"
"8395P","11424"
"8912","77356.87"
"8375","11424"
"450/3","76245.92"
"54/58","268779.08"
"630","145826.06"
"65/66B","12994.73"
"6502","0"
"8129","13818"
"160/5","27000"
"8059P","13818"
"691/2","162642.89"
"8329P","2420551.51"
"1013P","3542"
"9903","336731.99"
"9900","616787.54"
"9901","343717.87"
"9906","252892.89"
"9904","252892.89"
"9905","252892.89"
"42/48","564245.04"
"8279","145826.06"
"2053","260.5"
"2052","1"
"2051","260"
"8395","0"
"892","0"
"440/4","176404.51"
"8169","90040.91"
"47/48","247076.18"
"1023P","83446.7"
"172/3","77356.87"
"8525P","0"
"66A","0"
"91611","1300000"
"8059","13818"
"640/8","20260.09"
"490/1","7691.11"
"3053","260"
"3051","260"
"29/58","587587.62"
"17/49","642149.21"
"8199","3549207.07"
"91631","300000"
"694","75000"
"695","15250"
"1311","33475"
"91621","750000"
"1323","2.5"
"1322","4"
"902","0"
"67/77","83839.1"
