
"Reference number","2022-20015341"
"Entity number","0460086638"
"Accounting period start date","2020-10-01"
"Accounting period end date","2021-09-30"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","LACE HOTEL"
"Entity address street","Noordzandstraat"
"Entity address number","95"
"Entity postal code","8000"
"Entity city","Brugge"
"Entity country","België"
"General assembly date","2022-04-15"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","19755.45"
"492/3","132.3"
"111","750000"
"13","139921.64"
"14","-851707.63"
"17","401882.16"
"3","295.22"
"1103","1"
"1101","1"
"23","519394.14"
"24","52094.42"
"26","450"
"28","49.58"
"75/76B","3080.56"
"133","138062.44"
"8309","1087.58"
"1011","2"
"1003","1"
"1001","1"
"130/1","1859.2"
"8129P","57967.15"
"40","1439.26"
"41","18316.19"
"42","86531.63"
"43","23.18"
"44","72516.91"
"45","108.82"
"1021","639.56"
"14P","-742646.3"
"1013","2"
"8329","719259.78"
"22/27","571938.56"
"1023","639.56"
"12001","1"
"12003","1"
"8199P","1282388.73"
"62","639.56"
"10/49","600344.28"
"65","13345.39"
"21/28","571988.14"
"20/58","600344.28"
"10/11","750000"
"10/15","38214.01"
"75","4.46"
"170/4","401882.16"
"1003P","1.3"
"1053","1"
"1051","1"
"8395P","49.58"
"450/3","108.82"
"54/58","2270.24"
"630","46809.78"
"65/66B","13345.39"
"8129","57967.15"
"8059P","57967.15"
"8329P","673537.58"
"1013P","1106"
"9903","-93121.74"
"9900","4305.73"
"9901","-82856.91"
"9906","-851707.63"
"9904","-109061.33"
"9905","-109061.33"
"42/48","160115.81"
"76B","3076.1"
"8279","46809.78"
"8395","49.58"
"440/4","72516.91"
"8169","10440.99"
"47/48","935.27"
"1023P","20499.43"
"8179","1631.38"
"8059","57967.15"
"640/8","39713.3"
"490/1","6035.23"
"30/36","295.22"
"29/58","28356.14"
"17/49","562130.27"
"8199","1291198.34"
"430/8","23.18"
"1311","1859.2"
"174/0","401882.16"
"1203","1"
"1323","1"
"1201","1"
"1321","1"
"67/77","15939.59"
