
"Reference number","2023-00107191"
"Entity number","0410479551"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m04-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Pensionnat de Passy-Froyennes"
"Entity address street","Chaussée de Tournai(R-C)"
"Entity address number","7"
"Entity postal code","7520"
"Entity city","Templeuve"
"Entity country","Belgique"
"General assembly date","2023-05-22"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Association sans but lucratif"
"40/41","131780.35"
"12031","0"
"12033","0"
"492/3","6500"
"12032","0"
"58033","0"
"1341","7"
"454/9","96942.84"
"58032","0"
"9062","2001000"
"58031","0"
"635/9","0"
"1213","8.6"
"1333","0"
"1212","7"
"1332","0"
"1211","4"
"1331","0"
"5811","0"
"5812","0"
"5813","0"
"164/5","0"
"10","1663343.39"
"12","0"
"13","910324.92"
"14","418134.99"
"15","0"
"16","0"
"17","97079.63"
"3","39628.78"
"1103","16"
"1102","7"
"1343","11.4"
"1101","11"
"1342","7"
"5821","0"
"5822","0"
"5823","0"
"20","0"
"21","0"
"22","4013833.22"
"23","0"
"24","209553.40"
"25","0"
"26","514089.87"
"27","0"
"12132","0"
"12011","0"
"12131","0"
"29","0"
"1121","0"
"75/76B","25465.25"
"9087","18.1"
"1113","0"
"1112","0"
"1111","0"
"12013","0.0"
"5831","0"
"12133","0"
"12012","0"
"5832","0"
"5833","0"
"37","0"
"12022","0"
"5851","0"
"12021","0"
"1132","1"
"1011","15621"
"1131","0"
"1003","18.1"
"1123","0.5"
"1002","13.3"
"1122","1"
"1001","10.4"
"5841","0"
"5842","0"
"12023","0"
"5843","0"
"40","21640.90"
"41","110139.45"
"42","55336.07"
"43","2001000"
"44","446146.74"
"45","96942.84"
"46","0"
"48","1367.08"
"1022","370312"
"1021","514883"
"1013","26899"
"1133","0.5"
"1012","11278"
"5852","0"
"12112","0"
"8329","1637347.73"
"5853","0"
"12111","0"
"12113","0"
"12121","0"
"160","0"
"161","0"
"22/27","4737476.49"
"162","0"
"163","0"
"167","0"
"168","0"
"1023","885195"
"12123","0"
"12002","2"
"12122","0"
"12001","7"
"12003","8.4"
"8199P","3908821.15"
"62","908242.86"
"10/49","5696175.66"
"65","8871.28"
"66","5445"
"21/28","4737476.49"
"20/58","5696175.66"
"290","0"
"291","0"
"70","1582196.77"
"73","252078.04"
"10/15","2991803.30"
"75","25465.25"
"76","428053.36"
"170/4","9294.63"
"1003P","18.8"
"631/4","-12301.02"
"1053","17"
"1052","9"
"1051","11"
"178/9","87785"
"12101","4"
"8912","97079.63"
"12103","8.6"
"12102","7"
"450/3","0"
"54/58","781649.55"
"630","170976.09"
"65/66B","8871.28"
"160/5","0"
"8922","2001000"
"8329P","1466371.64"
"1013P","26888"
"9903","418134.99"
"9900","1488829.17"
"9901","401541.02"
"9906","418134.99"
"9904","418134.99"
"9905","418134.99"
"60/61","773498.97"
"42/48","2600792.73"
"76A","428053.36"
"8279","170976.09"
"2053","4.1"
"2052","4"
"2051","2"
"892","2001000"
"440/4","446146.74"
"8169","2466003.07"
"1023P","835242"
"172/3","9294.63"
"66A","5445"
"66B","0"
"91611","2308694.78"
"640/8","14925.22"
"50/53","0"
"439","0"
"490/1","5640.49"
"3053","6.1"
"3052","6"
"3051","3"
"680","0"
"30/36","39628.78"
"29/58","958699.17"
"441","0"
"1303","0"
"1302","0"
"1301","0"
"17/49","2704372.36"
"8199","6374824.22"
"91631","1550000"
"58132","0"
"58131","0"
"58133","0"
"430/8","2001000"
"1203","8.4"
"1323","5.6"
"1202","2"
"1322","2"
"1201","7"
"1321","4"
"5801","0"
"67/77","0"
"5802","0"
"5803","0"
