
"Entity number","0407256478"
"Accounting period start date","2025-01-01"
"Accounting period end date","2025-12-31"
"Model code","m81-f"
"Language","fr"
"Currency","EUR"
"Entity name","HOTEL DU CONGRES"
"Entity address street","RUE DU CONGRES"
"Entity address number","42"
"Entity postal code","1000"
"Entity city","Bruxelles"
"Entity country","Belgique"
"General assembly date","2026-06-29"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","43392.08"
"1341","5"
"454/9","77158.77"
"58032","1596"
"58031","6000"
"110","68200.02"
"1213","12.7"
"1212","14"
"1211","3"
"5811","12"
"5812","450"
"5813","12060"
"13","306820"
"14","1507553.52"
"15","3476.52"
"17","496054.20"
"1103","16.4"
"1102","10"
"1101","8"
"1343","5"
"23","348911.08"
"24","520033.47"
"26","621099.19"
"12011","5"
"28","61.97"
"29","15000"
"75/76B","36212.49"
"9087","19.1"
"133","306820"
"1113","3.1"
"1112","5"
"1111","1"
"12013","5.8"
"12012","1"
"8309","6751.61"
"1011","14543"
"1003","19.1"
"1002","14.9"
"1001","8.5"
"40","37250.89"
"41","6141.19"
"42","91717.13"
"44","31799.29"
"45","98404.07"
"1022","426080.16"
"1021","529069.04"
"14P","1333718.07"
"1013","30025"
"1012","15482"
"12112","13"
"8329","1135459.99"
"12111","3"
"12113","11.9"
"22/27","1490043.74"
"1023","955149.20"
"12001","1"
"12003","1"
"8199P","1451712.12"
"10/49","2604024.75"
"62","955149.20"
"65","70189.40"
"21/28","1490105.71"
"20/58","2604024.75"
"291","15000"
"10/11","68200.02"
"10/15","1886050.06"
"75","36212.49"
"170/4","496054.20"
"1003P","19"
"1053","19.5"
"1052","15"
"1051","9"
"8395P","61.97"
"8912","209261.51"
"8913","286792.69"
"12103","0.8"
"12102","1"
"450/3","21245.30"
"54/58","291836.28"
"630","169623.61"
"65/66B","70189.40"
"753","1158.84"
"8329P","972587.99"
"1013P","151017"
"9903","205586.05"
"9900","1471388.83"
"9901","239562.96"
"9906","1507553.52"
"9904","173835.45"
"9905","173835.45"
"42/48","221920.49"
"8279","169623.61"
"2053","8.2"
"2052","15"
"8395","61.97"
"2051","1"
"440/4","31799.29"
"8169","1182139.88"
"1023P","841615.56"
"172/3","496054.20"
"8179","8348.27"
"640/8","107053.06"
"50/53","750000"
"490/1","13690.68"
"3053","7.6"
"3052","13"
"3051","1"
"29/58","1113919.04"
"17/49","717974.69"
"8199","2625503.73"
"58132","2060"
"58131","10000"
"1203","6.8"
"1202","1"
"1323","14.5"
"1201","6"
"1322","15"
"1321","4"
"67/77","31750.60"
"5801","6"
"5802","220"
"5803","7596"
