
"Reference number","2024-00203064"
"Entity number","0464094916"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","IN DEN HOEK MOTEL TAVERNE"
"Entity address street","Leuvensesteenweg"
"Entity address number","69"
"Entity postal code","3390"
"Entity city","Sint-Joris-Winge"
"Entity country","België"
"General assembly date","2024-06-28"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","363982.13"
"454/9","3261.93"
"1213","1"
"1211","1"
"8455P","0"
"8525","0"
"10","61973.38"
"13","256900.27"
"1103","1"
"1101","1"
"22","1346.22"
"23","2183.28"
"24","0"
"28","500"
"8555","0"
"75/76B","15037.01"
"130","6197.34"
"133","250702.93"
"6921","3827.72"
"1011","1870"
"1003","1.3"
"1002","0"
"1001","1.3"
"130/1","6197.34"
"41","363982.13"
"42","1671.31"
"43","4378.64"
"44","9673.3"
"45","14742.55"
"8455","0"
"1021","39573.5"
"1013","1870"
"8329","247372.28"
"12111","1"
"12113","1"
"22/27","3529.5"
"1023","39573.5"
"8199P","249910.87"
"62","39573.5"
"10/49","368362.76"
"8555P","0"
"65","2404.43"
"21/28","4029.5"
"20/58","368362.76"
"10/11","61973.38"
"10/15","318873.65"
"75","15037.01"
"1003P","1"
"1053","1"
"1052","0"
"1051","1"
"8395P","500"
"450/3","11480.62"
"54/58","110.04"
"630","4252.98"
"65/66B","2404.43"
"691/2","3827.72"
"8329P","243119.3"
"1013P","1456"
"9903","8576.09"
"9900","42316.43"
"9901","-4056.49"
"9906","3827.72"
"9904","3827.72"
"9905","3827.72"
"42/48","49489.11"
"8279","4252.98"
"2053","48"
"2052","0"
"2051","48"
"8395","500"
"440/4","9673.3"
"8169","990.91"
"47/48","19023.31"
"1023P","28410.92"
"8525P","0"
"640/8","2546.44"
"490/1","241.09"
"3053","48"
"3051","48"
"29/58","364333.26"
"17/49","49489.11"
"8199","250901.78"
"430/8","4378.64"
"100","61973.38"
"1323","1"
"1321","1"
"67/77","4748.37"
