
"Reference number","2023-00228585"
"Entity number","0416923717"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","de"
"Currency","EUR"
"Entity name","TONA"
"Entity address street","Deidenberg,Zum Schwarzenvenn"
"Entity address number","4"
"Entity postal code","4770"
"Entity city","Amel"
"Entity country","Belgien"
"General assembly date","2023-04-08"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Gesellschaft mit beschränkter Haftung"
"40/41","1935.65"
"454/9","2500.00"
"111","18592.01"
"13","477.37"
"14","-47573.83"
"17","60417.69"
"22","12394.68"
"23","37672.87"
"24","20757.47"
"28","892.42"
"130/1","477.37"
"40","1935.65"
"42","3717.92"
"43","27280.02"
"44","7820.91"
"45","9981.62"
"46","2219.88"
"14P","-32255.51"
"8329","321860.03"
"22/27","70825.02"
"8199P","354591.30"
"10/49","87257.27"
"65","1453.39"
"21/28","71717.44"
"20/58","87257.27"
"10/11","18592.01"
"10/15","-28504.45"
"170/4","19927.09"
"178/9","40490.60"
"8395P","892.42"
"450/3","7481.62"
"54/58","10022.79"
"630","11917.27"
"65/66B","1453.39"
"8329P","309942.76"
"9903","-15083.47"
"9900","1986.59"
"9901","-13630.08"
"9906","-47573.83"
"9904","-15318.32"
"9905","-15318.32"
"42/48","55344.03"
"8279","11917.27"
"8395","892.42"
"440/4","7820.91"
"8169","38093.75"
"47/48","4323.68"
"172/3","19927.09"
"640/8","3699.4"
"439","23000.00"
"490/1","3581.39"
"29/58","15539.83"
"17/49","115761.72"
"8199","392685.05"
"430/8","4280.02"
"1311","477.37"
"67/77","234.85"
