
"Reference number","2024-00066299"
"Entity number","0414499212"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m04-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Snuffel"
"Entity address street","EZELSTRAAT"
"Entity address number","42"
"Entity postal code","8000"
"Entity city","Brugge"
"Entity country","België"
"General assembly date","2024-02-29"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Vereniging zonder winstoogmerk"
"40/41","16290"
"12033","1.3"
"492/3","51326.69"
"12032","2"
"1341","3"
"454/9","168447.74"
"1213","6.8"
"1212","9"
"1211","2"
"10","102803.37"
"13","324355.47"
"16","32270.45"
"3","13575.4"
"1103","11.3"
"1102","14"
"1343","6.7"
"1101","3"
"1342","6"
"22","43890.53"
"23","75688.26"
"24","13249.13"
"12132","1"
"12011","1"
"75/76B","1831.83"
"9087","11.9"
"1113","0.5"
"1112","1"
"12013","2.9"
"12133","0.5"
"12012","3"
"12022","1"
"1011","4820"
"1003","11.9"
"1002","15.1"
"1001","3.1"
"12023","0.8"
"41","16290"
"44","71975.36"
"45","171371.23"
"1022","444001.51"
"1021","167639.61"
"1013","17586"
"1012","12766"
"12112","5"
"8329","454796.87"
"12113","2.4"
"12121","2"
"22/27","132827.92"
"162","32270.45"
"1023","611641.12"
"12123","2.8"
"12122","1"
"8199P","503826.3"
"62","611641.12"
"10/49","754102.57"
"65","31596.6"
"21/28","132827.92"
"20/58","754102.57"
"10/15","427158.84"
"75","1831.83"
"1003P","11.6"
"1053","11.8"
"1052","15"
"1051","3"
"12103","1.1"
"12102","2"
"450/3","2923.49"
"54/58","558827.59"
"630","24979.42"
"65/66B","31596.6"
"160/5","32270.45"
"8329P","429817.45"
"1013P","17048"
"9903","115574.66"
"9900","905213.15"
"9901","145339.43"
"9906","115574.66"
"9904","115574.66"
"9905","115574.66"
"42/48","243346.59"
"8279","24979.42"
"2053","3.6"
"2052","4"
"2051","2"
"440/4","71975.36"
"8169","86375.76"
"1023P","536521.7"
"8179","2577.27"
"640/8","123253.18"
"490/1","32581.66"
"3053","3.4"
"3052","6"
"30/36","13575.4"
"29/58","621274.65"
"17/49","294673.28"
"8199","587624.79"
"691","115574.66"
"1203","5"
"1323","5.1"
"1202","6"
"1322","9"
"1201","1"
