
"Reference number","2022-20222510"
"Entity number","0404371719"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Patria"
"Entity address street","Marloie, Rue du Vicinal"
"Entity address number","12"
"Entity postal code","6900"
"Entity city","Marche-en-Famenne"
"Entity country","Belgique"
"General assembly date","2022-04-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","5799.89"
"10","62000.00"
"13","6200.00"
"14","9601.49"
"17","1134464.93"
"21","30830.42"
"22","1214345.07"
"23","1264.93"
"24","66823.52"
"75/76B","12594.99"
"130","6200.00"
"8319","0.01"
"130/1","6200.00"
"8129P","36432.82"
"40","5094.37"
"41","705.52"
"42","70012.54"
"14P","-10681.45"
"8329","247977.04"
"22/27","1282433.52"
"8199P","1283577.16"
"10/49","1322470.30"
"65","16852.76"
"21/28","1313263.94"
"20/58","1322470.3"
"10/11","62000.00"
"10/15","77801.49"
"75","97.49"
"170/4","1134464.93"
"54/58","3406.47"
"630","68953.33"
"65/66B","16852.76"
"8129","39347.50"
"8059P","70177.92"
"8329P","181938.38"
"9903","20282.94"
"9900","103282.77"
"9901","24540.71"
"9906","9601.49"
"9904","20282.94"
"9905","20282.94"
"60/61","39845.79"
"42/48","110203.88"
"76B","12497.50"
"8279","66038.65"
"8169","243940.84"
"47/48","40191.34"
"172/3","1134464.93"
"8059","70177.92"
"640/8","9788.73"
"8189","2892.56"
"29/58","9206.36"
"8079","2914.68"
"17/49","1244668.81"
"8199","1530410.56"
"100","62000.00"
