
"Reference number","2022-20549356"
"Entity number","0560870331"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","NEWTON DESIGN S.R.L."
"Entity address street","RUE NEWTON"
"Entity address number","1"
"Entity postal code","1000"
"Entity city","Bruxelles"
"Entity country","Belgique"
"General assembly date","2022-08-19"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","015"
"40/41","23879.07"
"111","670000"
"14","-333921.84"
"17","548691.87"
"21","785.67"
"22","889353.63"
"24","12930.82"
"28","1000"
"8129P","747.74"
"40","22577.59"
"41","1301.48"
"42","43291.31"
"43","32500"
"44","11095.47"
"45","0"
"14P","-339424.75"
"8329","391805.81"
"22/27","902284.45"
"8199P","1278590.26"
"10/49","1025870.67"
"65","17835.88"
"21/28","904070.12"
"20/58","1025870.67"
"70","132066.37"
"10/11","670000"
"10/15","336078.16"
"170/4","548691.87"
"8395P","1000"
"450/3","0"
"54/58","39609.72"
"630","82078.34"
"65/66B","17835.88"
"8129","1514.33"
"8059P","2300"
"8329P","310494.06"
"9903","5502.91"
"9900","111123.08"
"9901","23338.79"
"9906","-333921.84"
"9904","5502.91"
"9905","5502.91"
"60/61","53503.23"
"42/48","141100.64"
"8279","81311.75"
"8395","1000"
"440/4","11095.47"
"8169","15500"
"47/48","54213.86"
"172/3","548691.87"
"8059","2300"
"640/8","5705.95"
"439","32500"
"490/1","58311.76"
"29/58","121800.55"
"8079","766.59"
"17/49","689792.51"
"8199","1294090.26"
"430/8","0"
