
"Reference number","2023-00434801"
"Entity number","0460008048"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","NIAG"
"Entity address street","Chaussée de Mons"
"Entity address number","1229"
"Entity postal code","1070"
"Entity city","Anderlecht"
"Entity country","Belgique"
"General assembly date","2023-08-23"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"111","11658.98"
"13","2769.7"
"14","-15520.58"
"133","909.7"
"130/1","1860"
"44","1091.9"
"14P","-14794.58"
"10/11","11658.98"
"10/15","-1091.9"
"9903","-726"
"9900","-726"
"9901","-726"
"9906","-15520.58"
"9904","-726"
"9905","-726"
"42/48","1091.9"
"440/4","1091.9"
"17/49","1091.9"
"1311","1860"
