
"Reference number","2024-00294482"
"Entity number","0667849651"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Exploitatiemaatschappij ISK"
"Entity address street","Kortrijksesteenweg"
"Entity address number","1041"
"Entity postal code","9051"
"Entity city","Sint-Denijs-Westrem"
"Entity country","België"
"General assembly date","2024-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","416192.68"
"492/3","5000"
"1341","5"
"454/9","45794.6"
"58032","17.3"
"58031","212.3"
"110","625000"
"111","100000"
"1213","12.3"
"1212","9"
"1211","5"
"5811","10"
"5812","87"
"5813","2651.3"
"13","10000"
"14","-77515.75"
"3","7386.18"
"1103","13.3"
"1102","9"
"1343","5"
"1101","6"
"23","239442.77"
"24","31158.61"
"12011","2"
"75/76B","4969.95"
"9087","15.3"
"1113","1"
"1111","1"
"12013","2"
"1011","16149"
"1003","15.3"
"1002","7.3"
"1001","9.6"
"5841","1"
"5842","261"
"5843","1542.5"
"130/1","10000"
"8129P","516396.1"
"40","59265.63"
"41","356927.05"
"44","207851.45"
"45","46272.45"
"46","80968.21"
"1022","177602.86"
"1021","477858.81"
"14P","-173191.55"
"1013","22151"
"1012","6002"
"12112","9"
"8329","583088.34"
"12111","5"
"12113","12.3"
"22/27","270601.38"
"1023","655461.67"
"8199P","829648.33"
"62","655461.67"
"10/49","1488051.27"
"65","505.2"
"21/28","270601.38"
"20/58","1488051.27"
"10/11","725000"
"10/15","657484.25"
"75","4969.95"
"1003P","13.3"
"1053","14.3"
"1052","9"
"1051","7"
"450/3","477.85"
"54/58","789902.63"
"630","92883.12"
"65/66B","505.2"
"6502","0"
"8129","516396.1"
"8059P","516396.1"
"8329P","490205.22"
"1013P","16461"
"9903","95675.8"
"9900","1340394.58"
"9901","91211.05"
"9906","-77515.75"
"9904","95675.8"
"9905","95675.8"
"42/48","825567.02"
"8279","92883.12"
"2053","534.3"
"2052","213"
"2051","365"
"440/4","207851.45"
"8169","24041.39"
"47/48","490474.91"
"1023P","471094.77"
"8059","516396.1"
"640/8","500838.74"
"490/1","3968.4"
"3053","534.6"
"3052","211"
"3051","367"
"30/36","7386.18"
"29/58","1217449.89"
"17/49","830567.02"
"8199","853689.72"
"58132","198.4"
"58131","2452.9"
"1311","10000"
"1203","2"
"1323","9.3"
"1322","9"
"1201","2"
"1321","2"
"5801","1"
"67/77","0"
"5802","8"
"5803","229.6"
