
"Reference number","2025-00444944"
"Entity number","0421667116"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","GoWell"
"Entity address street","Langstraat"
"Entity address number","31"
"Entity postal code","3830"
"Entity city","Wellen"
"Entity country","België"
"General assembly date","2025-06-25"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","308.09"
"492/3","1142.95"
"454/9","11144.76"
"110","747000"
"12","90352.31"
"13","207082.55"
"14","-742735.08"
"22","405800.2"
"23","187.51"
"75/76B","4.97"
"132","56250"
"133","150832.55"
"1011","4479"
"1003","2.2"
"1001","2.2"
"8129P","10659.91"
"40","158.23"
"41","149.86"
"43","50000"
"44","31442.63"
"45","13257.56"
"1021","87499.3"
"14P","-601752.7"
"1013","4479"
"8329","3497699.45"
"22/27","405987.71"
"1023","87499.3"
"8199P","3903687.16"
"62","87499.3"
"10/49","411398.36"
"65","6237.33"
"21/28","405987.71"
"20/58","411398.36"
"10/11","747000"
"10/15","301699.78"
"75","4.97"
"1003P","5.1"
"450/3","2112.8"
"54/58","5102.56"
"630","61165.21"
"65/66B","6237.33"
"8129","10659.91"
"8059P","10659.91"
"8329P","3436534.24"
"1013P","5900"
"9903","-140670.68"
"9900","34866.03"
"9901","-134438.32"
"9906","-742735.08"
"9904","-140982.38"
"9905","-140982.38"
"42/48","108555.63"
"8279","61165.21"
"440/4","31442.63"
"47/48","13855.44"
"1023P","127407.1"
"8059","10659.91"
"640/8","20639.84"
"29/58","5410.65"
"17/49","109698.58"
"8199","3903687.16"
"430/8","50000"
"67/77","311.7"
