
"Reference number","2022-20349005"
"Entity number","0628792701"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","RESTAURANT MARKT 38"
"Entity address street","Sint-Sebastiaanshof"
"Entity address number","12"
"Entity postal code","8970"
"Entity city","Poperinge"
"Entity country","België"
"General assembly date","2022-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap met beperkte aansprakelijkheid"
"40/41","8593.7"
"492/3","563.03"
"111","18600"
"14","-97151.08"
"17","43358.61"
"21","3250"
"24","8592.27"
"28","5475.78"
"75/76B","824.98"
"8129P","5750"
"40","3159.7"
"41","5434"
"42","3884.42"
"43","2503.46"
"44","2527.34"
"45","7627.33"
"14P","-100166.31"
"791/2","137.29"
"8329","145.64"
"22/27","8592.27"
"10/49","25911.75"
"65","3757.32"
"21/28","17318.05"
"20/58","25911.75"
"10/11","18600"
"10/15","-78551.08"
"75","824.98"
"170/4","43358.61"
"8395P","5475.78"
"450/3","7627.33"
"630","1145.64"
"65/66B","3757.32"
"8129","6750"
"8059P","10000"
"9903","2877.94"
"9900","7155.92"
"9901","5810.28"
"9906","-97288.37"
"9904","2877.94"
"9905","2877.94"
"42/48","60541.19"
"8279","145.64"
"8395","5475.78"
"440/4","2527.34"
"8169","8737.91"
"47/48","43998.64"
"172/3","43358.61"
"8059","10000"
"640/8","200"
"29/58","8593.7"
"8079","1000"
"17/49","104462.83"
"8199","8737.91"
"430/8","2503.46"
