
"Reference number","2023-00028511"
"Entity number","0632952714"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","DVH"
"Entity address street","Eikenbroekstraat"
"Entity address number","1"
"Entity postal code","2235"
"Entity city","Hulshout"
"Entity country","België"
"General assembly date","2023-02-07"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","114741.12"
"492/3","7343.80"
"1341","1"
"454/9","28738.11"
"111","140000"
"1213","1"
"1211","1"
"9078","45080"
"13","131980.34"
"14","179590.03"
"15","93277.30"
"16","31092.43"
"17","524070.26"
"3","11129"
"1103","3"
"1343","1"
"1101","3"
"20","5000"
"22","1310258.48"
"23","148544.83"
"24","2225.98"
"25","7423.54"
"28","1753.60"
"75/76B","7211.04"
"133","130480.34"
"1011","5538"
"1003","3.2"
"1002","0.5"
"1001","2.9"
"130/1","1500"
"40","66854.11"
"41","47887.01"
"42","69291.92"
"43","25240.38"
"44","189858.44"
"45","50510.37"
"1013","5724"
"1012","186"
"8329","318979.31"
"22/27","1468452.83"
"168","31092.43"
"1023","111778.70"
"12001","2"
"12003","2"
"8199P","1504262.87"
"62","111778.70"
"10/49","1605505.77"
"65","21395.36"
"21/28","1470206.43"
"20/58","1605505.77"
"70","325106.60"
"10/11","140000"
"10/15","544847.67"
"75","7211.04"
"8365","12193.3"
"170/4","524070.26"
"1003P","3.1"
"1053","3"
"1051","3"
"8395P","1116.5"
"12101","1"
"12103","1"
"8375","11556.20"
"450/3","21772.26"
"54/58","3313.66"
"630","72591.21"
"65/66B","21395.36"
"753","7039.75"
"8329P","247638.1"
"1013P","4469"
"9903","197460.14"
"9900","402816.40"
"9901","211644.46"
"9906","179590.03"
"9904","179590.03"
"9905","179590.03"
"42/48","498151.61"
"8279","71341.21"
"2053","462.9"
"2052","1"
"2051","462"
"8395","1753.6"
"440/4","189858.44"
"8169","283169.27"
"47/48","163250.50"
"780","2346.58"
"1023P","74943.84"
"172/3","489070.26"
"66A","568.20"
"91611","1310258.48"
"640/8","6233.83"
"490/1","1115.56"
"3053","462.9"
"3052","1"
"3051","462"
"30/36","11129.00"
"29/58","130299.34"
"17/49","1029565.67"
"8199","1787432.14"
"430/8","25240.38"
"1311","1500"
"174/0","35000"
"91621","495000"
"1203","2"
"1323","2"
"1201","2"
"1321","2"
"67/77","20216.69"
