
"Reference number","2025-00088140"
"Entity number","0450039121"
"Accounting period start date","2023-09-01"
"Accounting period end date","2024-08-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","KASTEEL WURFELD"
"Entity address street","Kapelweg"
"Entity address number","60"
"Entity postal code","3680"
"Entity city","Maaseik"
"Entity country","België"
"General assembly date","2025-02-13"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","92688"
"492/3","2479"
"1100/10","20000"
"11","20000"
"13","77840"
"14","111674"
"17","533561"
"22","611403"
"23","12422"
"28","134"
"75/76B","2"
"132","71502"
"133","6338"
"40","91606"
"41","1082"
"44","19822"
"45","1871"
"46","5128"
"14P","124852"
"8329","3205182"
"22/27","623825"
"8199P","3825219"
"10/49","773512"
"65","23366"
"21/28","623959"
"20/58","773512"
"10/11","20000"
"10/15","209514"
"75","2"
"170/4","533561"
"1003P","3.3"
"8395P","134"
"8912","533561"
"450/3","1871"
"54/58","50340"
"630","87480"
"65/66B","23366"
"8329P","3117372"
"1013P","5170"
"9903","-13178"
"9900","118269"
"9901","10186"
"9906","111674"
"9904","-13178"
"9905","-13178"
"42/48","27958"
"8279","87810"
"8395","134"
"47/48","1137"
"8169","3788"
"1023P","85968"
"640/8","20603"
"490/1","6525"
"29/58","149553"
"441","19822"
"17/49","563998"
"8199","3829007"
"174/0","533561"
