
"Reference number","2025-00105280"
"Entity number","0425072113"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","BOETIEK ABBEY ROAD"
"Entity address street","Pastoor Blanckestraat"
"Entity address number","2"
"Entity postal code","8953"
"Entity city","Wijtschate"
"Entity country","België"
"General assembly date","2025-05-16"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","178.87"
"492/3","5223.94"
"8525","0"
"10","85000"
"13","22270.09"
"14","-47893.15"
"17","480020.69"
"21","4425.1"
"22","555647.67"
"23","1760"
"28","0"
"75/76B","410.35"
"130","3520.09"
"132","18750"
"130/1","3520.09"
"40","0"
"41","178.87"
"44","35019.01"
"45","2995.08"
"14P","-10359.65"
"791/2","0"
"8329","563862.44"
"22/27","557407.67"
"8199P","709104.17"
"10/49","585540.84"
"65","9035.55"
"21/28","561832.77"
"20/58","585540.84"
"10/11","85000"
"10/15","59376.94"
"75","410.35"
"170/4","380646.22"
"178/9","99374.47"
"8395P","800"
"8375","800"
"450/3","2995.08"
"54/58","5498.8"
"630","27226.68"
"65/66B","9035.55"
"8129","1054.9"
"8059P","0"
"8329P","537690.66"
"8029","5480"
"9903","-37533.5"
"9900","1727.16"
"9901","-28908.3"
"9906","-47893.15"
"9904","-37533.5"
"9905","-37533.5"
"42/48","40919.27"
"8279","26171.78"
"8395","0"
"440/4","35019.01"
"8169","412165.94"
"47/48","2905.18"
"8059","5480"
"640/8","3408.78"
"490/1","18030.4"
"29/58","23708.07"
"8079","1054.9"
"17/49","526163.9"
"8199","1121270.11"
"174/0","380646.22"
"100","85000"
