
"Reference number","2025-00208060"
"Entity number","0477036991"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","HOREA"
"Entity address street","Rue des Hayettes"
"Entity address number","18"
"Entity address box","A"
"Entity postal code","5522"
"Entity city","Falaën"
"Entity country","Belgique"
"General assembly date","2025-06-17"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","10478.29"
"110","18550"
"12","1021791.14"
"14","-209457.34"
"17","22625.87"
"22","885990.20"
"23","3080.16"
"26","384.33"
"40","10478.29"
"42","13054.44"
"44","1896.85"
"45","8316.46"
"14P","-187212.81"
"8329","1034202.08"
"22/27","889454.69"
"8199P","1904336.15"
"10/49","908496.19"
"65","1388.50"
"66","357.64"
"21/28","889454.69"
"20/58","908496.19"
"10/11","18550"
"10/15","830883.80"
"170/4","22625.87"
"8912","22625.87"
"450/3","8316.46"
"54/58","379.21"
"630","54977.61"
"65/66B","1388.50"
"8329P","979224.47"
"9903","-13928.07"
"9900","47976.90"
"9901","-12539.57"
"9906","-209457.34"
"9904","-22244.53"
"9905","-22244.53"
"42/48","54986.52"
"8279","54977.61"
"440/4","1896.85"
"8169","19320.62"
"47/48","31718.77"
"172/3","22625.87"
"66A","357.64"
"640/8","5181.22"
"490/1","8184"
"29/58","19041.50"
"17/49","77612.39"
"8199","1923656.77"
"67/77","8316.46"
