
"Reference number","2023-00232614"
"Entity number","0451555289"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","BELOPCO"
"Entity address street","Steenweg op Wezemaal"
"Entity address number","8"
"Entity postal code","3110"
"Entity city","Rotselaar"
"Entity country","België"
"General assembly date","2023-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","175.41"
"111","18600"
"13","97180.6"
"14","-197273.55"
"17","336459.72"
"3","803.47"
"22","262123.12"
"23","846.69"
"24","2155.83"
"28","525"
"133","95320.6"
"130/1","1860"
"41","175.41"
"42","17238.07"
"44","93.4"
"45","290.24"
"46","710"
"14P","-182380.44"
"8329","162196.41"
"22/27","265125.64"
"8199P","424598.89"
"10/49","273298.48"
"65","6701.78"
"21/28","265650.64"
"20/58","273298.48"
"10/11","18600"
"10/15","-81492.95"
"170/4","117642.27"
"178/9","218817.45"
"8395P","525"
"450/3","290.24"
"54/58","6234.17"
"630","18269.97"
"65/66B","6701.78"
"8329P","143926.44"
"9903","-14893.11"
"9900","12351.71"
"9901","-8191.33"
"9906","-197273.55"
"9904","-14893.11"
"9905","-14893.11"
"42/48","18331.71"
"8279","18269.97"
"8395","525"
"440/4","93.4"
"8169","2723.16"
"172/3","117642.27"
"640/8","2273.07"
"490/1","434.79"
"30/36","803.47"
"29/58","7647.84"
"17/49","354791.43"
"8199","427322.05"
"1311","1860"
