
"Reference number","2023-00081044"
"Entity number","0650766763"
"Accounting period start date","2021-10-01"
"Accounting period end date","2022-09-30"
"Model code","m01-f-p"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Foncière Loisirs Vielsalm"
"Entity address street","Rue de la Grotte"
"Entity address number","12"
"Entity postal code","6690"
"Entity city","Vielsalm"
"Entity country","Belgique"
"General assembly date","2023-04-27"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
