
"Reference number","2023-00080816"
"Entity number","0442911403"
"Accounting period start date","2021-10-01"
"Accounting period end date","2022-09-30"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","IGEFA"
"Entity address street","CHEMIN DE LA CENSE"
"Entity address number","27"
"Entity postal code","4960"
"Entity city","Malmedy"
"Entity country","Belgique"
"General assembly date","2023-03-08"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","2361.86"
"10","62000"
"13","67084.03"
"14","-60509.93"
"17","795401.44"
"22","862616.66"
"23","1718.29"
"24","31846.21"
"28","40000"
"75/76B","2"
"130","6200"
"133","60884.03"
"130/1","6200"
"40","2361.86"
"42","62120.3"
"44","9858.66"
"45","477.66"
"46","7501"
"14P","-69852.51"
"8329","736753.3"
"22/27","896181.16"
"8199P","1492282.76"
"62","331.43"
"10/49","943933.16"
"65","14355.26"
"21/28","936181.16"
"20/58","943933.16"
"10/11","62000"
"10/15","68574.1"
"75","2"
"170/4","573098.13"
"178/9","222303.31"
"8395P","40000"
"450/3","477.66"
"54/58","3247.05"
"630","57986.1"
"65/66B","14355.26"
"8329P","678767.2"
"9903","9381.05"
"9900","94042.85"
"9901","23734.31"
"9906","-60509.93"
"9904","9342.58"
"9905","9342.58"
"42/48","79957.62"
"8279","57986.1"
"8395","40000"
"440/4","9858.66"
"8169","140651.7"
"172/3","573098.13"
"91611","862616.66"
"640/8","11991.01"
"490/1","2143.09"
"29/58","7752"
"17/49","875359.06"
"8199","1632934.46"
"91631","775500"
"91621","775500"
"100","62000"
"67/77","38.47"
