
"Reference number","2026-00122998"
"Entity number","0535709818"
"Accounting period start date","2025-01-01"
"Accounting period end date","2025-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","IMMO HOTEL BRUGGE"
"Entity address street","De Kleetlaan"
"Entity address number","14"
"Entity postal code","1831"
"Entity city","Diegem"
"Entity country","België"
"General assembly date","2026-05-13"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","2157636.21"
"492/3","47480.08"
"1100/10","3.3"
"10","8065283.52"
"11","3.3"
"13","289664.63"
"14","1283852.66"
"22","5494564.39"
"23","1110222.22"
"27","63556.86"
"75/76B","26105.36"
"130","289664.63"
"6920","28331.6"
"8309","287617.89"
"130/1","289664.63"
"41","2157636.21"
"44","51806.95"
"45","36236.18"
"14P","745552.18"
"8329","5608079.67"
"22/27","6668343.47"
"8199P","12361092.98"
"10/49","9774327.32"
"65","48.53"
"21/28","6668343.47"
"20/58","9774327.32"
"70","1035152.19"
"10/11","8065286.82"
"10/15","9638804.11"
"75","26105.36"
"450/3","36236.18"
"54/58","948347.64"
"630","305836.73"
"65/66B","48.53"
"691/2","28331.6"
"8329P","5589860.83"
"9903","753604.29"
"9900","1093780.95"
"9901","727547.46"
"9906","1312184.26"
"9904","566632.08"
"9905","566632.08"
"60/61","6768"
"42/48","88043.13"
"8279","305836.73"
"440/4","51806.95"
"8169","202948.05"
"8179","287617.89"
"640/8","60396.76"
"29/58","3105983.85"
"17/49","135523.21"
"8199","12276423.14"
"100","8065283.52"
"67/77","186972.21"
