
"Reference number","2024-00032972"
"Entity number","0450891434"
"Accounting period start date","2022-10-01"
"Accounting period end date","2023-09-30"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Duinhof"
"Entity address street","Ringlaan Noord"
"Entity address number","40"
"Entity postal code","8420"
"Entity city","De Haan"
"Entity country","België"
"General assembly date","2024-02-22"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","42746.92"
"9500","61367.82"
"454/9","21060.63"
"111","74000"
"1213","4.5"
"1212","3"
"1211","3"
"8525","0"
"13","287374.94"
"14","0"
"17","91529.48"
"1103","2"
"1101","2"
"22","236596.12"
"23","139729.16"
"24","50937.71"
"28","1976"
"29","35000"
"75/76B","2918.58"
"132","27643.57"
"133","252331.37"
"1113","2.5"
"1112","3"
"1111","1"
"6921","55077.38"
"1011","3630"
"694/7","31618.97"
"1003","3"
"1002","1.4"
"1001","2.3"
"130/1","7400"
"8129P","1125"
"40","13560.21"
"41","29186.71"
"42","46389.05"
"43","5072.17"
"44","13244.55"
"45","27476.33"
"46","2499.9"
"1022","25873.2"
"1021","94868.41"
"791/2","31618.97"
"1013","4620"
"1012","990"
"12112","3"
"8329","1591563.64"
"12111","2"
"12113","3.5"
"22/27","427262.99"
"1023","120741.61"
"8199P","1923987.31"
"62","120741.63"
"10/49","579205.39"
"65","12972.63"
"21/28","429238.99"
"20/58","579205.39"
"291","35000"
"10/11","74000"
"10/15","361374.94"
"75","2918.58"
"170/4","91529.48"
"1003P","3.5"
"1053","4.5"
"1052","3"
"1051","3"
"8395P","1976"
"12101","1"
"12103","1"
"450/3","6415.7"
"54/58","70798.48"
"630","34319.47"
"65/66B","12972.63"
"8129","1125"
"8059P","1125"
"691/2","55077.38"
"8329P","1557244.17"
"1013P","5186"
"9903","81250.24"
"9900","260776.49"
"9901","91304.29"
"9906","55077.38"
"9904","55077.38"
"9905","55077.38"
"42/48","126300.97"
"76A","0"
"8279","34319.47"
"2053","11.6"
"2052","5"
"2051","9"
"8395","1976"
"440/4","13244.55"
"8169","94839.32"
"47/48","31618.97"
"1023P","120319.49"
"172/3","91529.48"
"91611","236596.12"
"8059","1125"
"640/8","14411.1"
"439","5072.17"
"490/1","1421"
"3053","11.4"
"3052","4"
"3051","9"
"29/58","149966.4"
"17/49","217830.45"
"8199","2018826.63"
"694","31618.97"
"1311","7400"
"91621","384234.96"
"1323","4.5"
"1322","3"
"1321","3"
"67/77","26172.86"
