
"Reference number","2022-20065147"
"Entity number","0465869026"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","GAN CONCEPT"
"Entity address street","Grand'rue"
"Entity address number","161"
"Entity postal code","6000"
"Entity city","Charleroi"
"Entity country","Belgique"
"General assembly date","2022-05-20"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société à responsabilité limitée"
"40/41","2331"
"454/9","93"
"11","18748"
"14","-24524"
"40","1150"
"41","1181"
"44","1123"
"45","93"
"14P","-24801"
"8329","7244"
"8199P","7244"
"10/49","2341"
"65","81"
"20/58","2341"
"10/11","18748"
"10/15","-5776"
"54/58","10"
"65/66B","81"
"8329P","7244"
"9903","277"
"9900","1205"
"9901","358"
"9906","-24524"
"9904","277"
"9905","277"
"42/48","8117"
"440/4","1123"
"47/48","6901"
"640/8","847"
"1109/19","18748"
"29/58","2341"
"17/49","8117"
"8199","7244"
