
"Reference number","2025-00053388"
"Entity number","0632870659"
"Accounting period start date","2023-10-01"
"Accounting period end date","2024-09-30"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","BACANA"
"Entity address street","Broekstraat"
"Entity address number","21"
"Entity postal code","3110"
"Entity city","Rotselaar"
"Entity country","België"
"General assembly date","2025-03-04"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","20406.07"
"110","6433"
"13","14249.29"
"14","0"
"24","712.69"
"26","3834.68"
"75/76B","0"
"133","14249.29"
"6921","6519.18"
"694/7","6280.09"
"40","3136.1"
"41","17269.97"
"44","1200.87"
"45","307.02"
"791/2","6280.09"
"8329","20520.11"
"22/27","4547.37"
"8199P","23051.48"
"10/49","28470.27"
"65","172.7"
"21/28","4547.37"
"20/58","28470.27"
"10/11","6433"
"10/15","20682.29"
"75","0"
"450/3","307.02"
"54/58","2867.96"
"630","1454.89"
"65/66B","172.7"
"691/2","6519.18"
"8329P","19065.22"
"9903","9826.2"
"9900","12151.41"
"9901","9998.9"
"9906","6519.18"
"9904","6519.18"
"9905","6519.18"
"42/48","7787.98"
"8279","1454.89"
"440/4","1200.87"
"8169","2016"
"47/48","6280.09"
"640/8","697.62"
"490/1","648.87"
"29/58","23922.9"
"17/49","7787.98"
"8199","25067.48"
"694","6280.09"
"67/77","3307.02"
