
"Reference number","2023-00306878"
"Entity number","0450387232"
"Accounting period start date","2022-01-01"
"Accounting period end date","2022-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","ADAGIO"
"Entity address street","VAN BUNNENLAAN"
"Entity address number","12"
"Entity postal code","8300"
"Entity city","Knokke-Heist"
"Entity country","België"
"General assembly date","2023-06-20"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","48770.93"
"12031","1"
"12033","1"
"1341","2"
"454/9","23775.14"
"110","286750"
"1213","5.3"
"1212","2"
"1211","4"
"13","350618.37"
"1103","4.5"
"1102","1"
"1343","2.5"
"1101","4"
"1342","1"
"22","265369.7"
"23","8670.17"
"24","1586.5"
"12011","1"
"28","425.41"
"29","90000"
"75/76B","3617.45"
"9087","5.3"
"133","350618.37"
"1113","2.8"
"1112","1"
"1111","2"
"12013","1"
"6921","19397.44"
"1011","5774"
"1003","5.3"
"1002","2.1"
"1001","3.9"
"40","5759.4"
"41","43011.53"
"44","15461.46"
"45","24372.26"
"46","839.95"
"1022","77453.19"
"1021","147255.42"
"1013","8811"
"1012","3037"
"12112","2"
"8329","1097074.07"
"12111","3"
"12113","4.3"
"12121","1"
"22/27","275626.37"
"1023","224708.61"
"12123","1"
"8199P","1328067.26"
"62","224708.61"
"10/49","681140.92"
"65","320.12"
"21/28","276051.78"
"20/58","681140.92"
"291","90000"
"10/11","286750"
"10/15","637368.37"
"75","3617.45"
"1003P","5.5"
"1053","7.3"
"1052","2"
"1051","6"
"8395P","425.41"
"450/3","597.12"
"54/58","266318.21"
"630","20859.83"
"65/66B","320.12"
"691/2","19397.44"
"8329P","1076214.24"
"1013P","8317"
"9903","19397.44"
"9900","270172.95"
"9901","16100.11"
"9906","19397.44"
"9904","19397.44"
"9905","19397.44"
"42/48","43772.55"
"8279","20859.83"
"2053","225.7"
"2052","85"
"2051","160"
"8395","425.41"
"440/4","15461.46"
"8169","44633.18"
"47/48","3098.88"
"1023P","203761.85"
"640/8","8504.4"
"3053","224"
"3052","89"
"3051","155"
"29/58","405089.14"
"17/49","43772.55"
"8199","1372700.44"
"1203","2"
"1323","4.8"
"1322","1"
"1201","2"
"1321","4"
