
"Reference number","2024-00293927"
"Entity number","0462715932"
"Accounting period start date","2023-01-01"
"Accounting period end date","2023-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Bed & Breakfast"
"Entity address street","Vissersstraat"
"Entity address number","18"
"Entity postal code","8370"
"Entity city","Blankenberge"
"Entity country","België"
"General assembly date","2024-06-30"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","38820.77"
"110","20000"
"13","2000"
"14","-126510.94"
"17","173027.85"
"22","201536.9"
"24","5228.41"
"28","538"
"133","2000"
"8129P","1655.93"
"40","38812.85"
"41","7.92"
"42","12038.53"
"43","4.16"
"44","1243.81"
"45","2443.51"
"14P","-135209.99"
"8329","26961.83"
"22/27","206765.31"
"8199P","211113.39"
"10/49","277277.37"
"65","2564.17"
"21/28","207303.31"
"20/58","277277.37"
"10/11","20000"
"10/15","-104510.94"
"170/4","173027.85"
"8395P","538"
"450/3","2443.51"
"54/58","31153.29"
"630","8240.3"
"65/66B","2564.17"
"8129","1655.93"
"8059P","1655.93"
"8329P","18721.53"
"9903","8699.05"
"9900","19891.52"
"9901","11263.22"
"9906","-126510.94"
"9904","8699.05"
"9905","8699.05"
"42/48","208760.46"
"8279","8240.3"
"8395","538"
"440/4","1243.81"
"8169","22613.75"
"47/48","193030.45"
"172/3","173027.85"
"91611","201536.9"
"8059","1655.93"
"640/8","388"
"29/58","69974.06"
"17/49","381788.31"
"8199","233727.14"
"430/8","4.16"
"91621","97500"
