
"Reference number","2022-20423779"
"Entity number","0671591277"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Rent Event World"
"Entity address street","Rue Henri Goossens"
"Entity address number","7"
"Entity postal code","4431"
"Entity city","Loncin"
"Entity country","Belgique"
"General assembly date","2022-06-16"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","177445.75"
"492/3","112.42"
"10","61500"
"14","-52368.25"
"17","0"
"24","3283.96"
"75/76B","0"
"8309","103641.99"
"40","177445.75"
"42","0"
"44","13293.6"
"45","7035.14"
"14P","-93367.25"
"8329","124230.07"
"22/27","3283.96"
"8199P","300250.66"
"10/49","182189.55"
"65","2820.22"
"21/28","3283.96"
"20/58","182189.55"
"10/11","61500"
"10/15","9131.75"
"75","0"
"178/9","0"
"450/3","7035.14"
"54/58","468.06"
"630","25502.8"
"65/66B","2820.22"
"8329P","202369.26"
"1013P","0"
"9903","40999"
"9900","70307.81"
"9901","43819.22"
"9906","-52368.25"
"9904","40999"
"9905","40999"
"42/48","172945.38"
"8279","25502.8"
"440/4","13293.6"
"47/48","152616.64"
"1023P","0"
"8179","172736.63"
"640/8","985.79"
"490/1","991.78"
"29/58","178905.59"
"17/49","173057.8"
"8199","127514.03"
"100","61500"
