
"Reference number","2022-20238603"
"Entity number","0468869096"
"Accounting period start date","2021-01-01"
"Accounting period end date","2021-12-31"
"Model code","m87-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","ILM"
"Entity address street","KUMTICHSTRAAT"
"Entity address number","53"
"Entity postal code","3300"
"Entity city","Tienen"
"Entity country","België"
"General assembly date","2022-06-04"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","277640.18"
"454/9","1832.46"
"111","18600"
"13","233396.06"
"17","465562.03"
"22","257519.72"
"23","222620.11"
"75/76B","0.05"
"132","15624.7"
"133","215911.36"
"6921","76010.83"
"694/7","51642.86"
"130/1","1860"
"40","9829.41"
"41","267810.77"
"42","45716.33"
"44","1905.45"
"45","63420.17"
"791/2","51642.86"
"8329","358111.53"
"22/27","480139.83"
"8199P","674603.36"
"62","13001.98"
"10/49","828600.04"
"65","9774.25"
"21/28","480139.83"
"20/58","828600.04"
"10/11","18600"
"10/15","251996.06"
"75","0.05"
"170/4","465562.03"
"450/3","61587.71"
"54/58","65114.72"
"630","38450.34"
"65/66B","9774.25"
"691/2","76010.83"
"8329P","319661.19"
"9903","112970.11"
"9900","189057.82"
"9901","122744.31"
"9906","76010.83"
"9904","76010.83"
"9905","76010.83"
"42/48","111041.95"
"8279","38450.34"
"440/4","1905.45"
"8169","163648"
"172/3","465562.03"
"640/8","14861.19"
"490/1","5705.31"
"29/58","348460.21"
"17/49","576603.98"
"8199","838251.36"
"694","51642.86"
"1311","1860"
"67/77","36959.28"
