
"Reference number","2023-00012687"
"Entity number","0463696424"
"Accounting period start date","2021-07-01"
"Accounting period end date","2022-06-30"
"Model code","m07-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","LOISIRS EN SEMOIS"
"Entity address street","Vieille Route de France"
"Entity address number","66"
"Entity postal code","6830"
"Entity city","Bouillon"
"Entity country","Belgique"
"General assembly date","2022-12-12"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
"40/41","44500"
"10","61973.38"
"14","73961.36"
"17","77495.69"
"22","137805.17"
"23","5843.55"
"24","878.71"
"8129P","14874"
"40","6500"
"41","38000"
"43","2500"
"44","2242.11"
"45","4187.12"
"14P","49721.52"
"8329","552605.10"
"22/27","144527.43"
"8199P","696187.36"
"10/49","260256.12"
"65","125.26"
"21/28","144527.43"
"20/58","260256.12"
"10/11","61973.38"
"10/15","135934.74"
"170/4","77495.69"
"450/3","4187.12"
"54/58","70548.82"
"630","12983.37"
"65/66B","125.26"
"8129","14874"
"8059P","14874"
"8329P","539621.73"
"9903","33713.97"
"9900","51668.24"
"9901","33839.23"
"9906","73961.36"
"9904","24239.84"
"9905","24239.84"
"42/48","46825.69"
"8279","12983.37"
"440/4","2242.11"
"8169","945.17"
"47/48","37896.46"
"8059","14874"
"640/8","4845.64"
"490/1","679.87"
"29/58","115728.69"
"17/49","124321.38"
"8199","697132.53"
"430/8","2500"
"174/0","77495.69"
"100","61973.38"
"67/77","9474.13"
